facility_name,city,state,star_rating,hrrp_penalty_pct,vbp_tps,bed_count,operating_margin,net_patient_revenue,est_annual_hrrp_loss
HCA FLORIDA NORTHWEST HOSPITAL,MARGATE,FL,2.0,0.67,27.5,289.0,0.2838,322466148.0,2160523.1916
TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH,FORT WORTH,TX,3.0,0.61,26.3,250.0,0.1319,345344641.0,2106602.3101
PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,FL,2.0,0.84,18.9,199.0,0.0961,248774516.0,2089705.9344
MERCY HOSPITAL JOPLIN,JOPLIN,MO,1.0,0.63,20.9,221.0,0.0785,314588481.0,1981907.4303000001
IU HEALTH WEST HOSPITAL,AVON,IN,4.0,0.56,24.9,173.0,0.1415,352203807.0,1972341.3192000003
ST ELIZABETH FLORENCE,FLORENCE,KY,3.0,0.71,22.0,168.0,0.0388,272940350.0,1937876.4849999999
FRANCISCAN HEALTH CROWN POINT,CROWN POINT,IN,3.0,0.59,23.9,174.0,0.0125,324301272.0,1913377.5048
MEDICAL CITY NORTH HILLS,NORTH RICHLAND HILLS,TX,2.0,0.94,27.0,142.0,0.3106,195689266.0,1839479.1003999996
MERCY HEALTH - LOURDES HOSPITAL,PADUCAH,KY,3.0,0.54,27.3,212.0,0.1515,334028886.0,1803755.9844000002
HMHP ST ELIZABETH BOARDMAN HEALTH CENTER,BOARDMAN,OH,2.0,0.57,23.1,210.0,0.1671,314321316.0,1791631.5011999998
HCA HOUSTON HEALTHCARE CONROE,CONROE,TX,2.0,0.51,22.3,265.0,0.2805,339625413.0,1732089.6063
SIERRA MEDICAL CENTER,EL PASO,TX,2.0,0.65,17.8,282.0,0.0247,252006292.0,1638040.898
MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,MORRISTOWN,TN,2.0,1.1,23.5,100.0,0.1252,148417290.0,1632590.1900000002
MERCY HEALTH - WEST HOSPITAL,CINCINNATI,OH,4.0,0.56,28.3,206.0,0.0276,283334458.0,1586672.9648000002
GARDEN CITY HOSPITAL,GARDEN CITY,MI,2.0,0.96,23.3,138.0,0.1682,164527801.0,1579466.8895999999
PROMEDICA MONROE REGIONAL HOSPITAL,MONROE,MI,1.0,0.85,7.7,147.0,0.0982,180088221.0,1530749.8785
ATRIUM MEDICAL CENTER,FRANKLIN,OH,4.0,0.56,24.4,244.0,0.1038,268338094.0,1502693.3264000001
IREDELL MEMORIAL HOSPITAL INC,STATESVILLE,NC,3.0,0.5,27.5,155.0,0.0855,299918603.0,1499593.0150000001
HCA FLORIDA LAKE CITY HOSPITAL,LAKE CITY,FL,3.0,0.76,21.1,113.0,0.4168,185678652.0,1411157.7552
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,2.0,0.8,22.8,111.0,0.0428,172895775.0,1383166.2
JOHNSTON MEMORIAL HOSPITAL,ABINGDON,VA,3.0,0.74,19.5,102.0,0.0375,184552783.0,1365690.5942000002
TRISTAR STONECREST MEDICAL CENTER,SMYRNA,TN,4.0,0.63,27.2,115.0,0.4789,210409822.0,1325581.8786
SHORE MEDICAL CENTER,SOMERS POINT,NJ,3.0,0.51,25.5,199.0,0.1102,251356661.0,1281918.9711000002
MERIT HEALTH RIVER OAKS,FLOWOOD,MS,1.0,0.67,19.0,158.0,0.1247,187220335.0,1254376.2445
LANDMARK MEDICAL CENTER,WOONSOCKET,RI,2.0,0.75,26.1,113.0,0.124,160393101.0,1202948.2575
DEACONESS HENDERSON HOSPITAL,HENDERSON,KY,2.0,0.63,26.2,118.0,0.0609,176299112.0,1110684.4056
TRISTAR GREENVIEW REGIONAL HOSPITAL,BOWLING GREEN,KY,2.0,0.72,18.5,118.0,0.2128,148656161.0,1070324.3592
VIRTUA WILLINGBORO HOSPITAL,WILLINGBORO,NJ,3.0,0.69,18.8,149.0,0.041,154982898.0,1069381.9962
UNIVERSITY HOSPITAL AND MEDICAL CENTER,TAMARAC,FL,2.0,0.58,26.3,186.0,0.3459,182787205.0,1060165.7889999999
SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM WINCHEST,WINCHESTER,TN,3.0,0.62,21.3,128.0,0.0422,133959537.0,830549.1294
DUKE HEALTH LAKE NORMAN HOSPITAL,MOORESVILLE,NC,1.0,0.52,18.9,123.0,0.1813,144211397.0,749899.2644
JEFFERSON LANSDALE HOSPITAL,LANSDALE,PA,3.0,0.64,28.0,140.0,0.0362,103809348.0,664379.8272
CENTRAL CAROLINA HOSPITAL,SANFORD,NC,2.0,0.64,18.3,127.0,0.0048,91016471.0,582505.4144
THE MEDICAL CENTER OF SOUTHEAST TEXAS,PORT ARTHUR,TX,3.0,0.71,25.7,196.0,0.0725,70911717.0,503473.1907
